Time(s),CH1V,CH2V
2.780000e-02,5.733334e-03,-2.608000e-02
2.800000e-02,-6.333333e-03,-5.477333e-02
2.820000e-02,5.200000e-03,2.568000e-02
2.840000e-02,7.333334e-03,1.721333e-01
2.860000e-02,-5.666667e-03,1.472000e-02
2.880000e-02,6.266667e-03,-3.293333e-02
2.900000e-02,-8.266667e-03,4.944000e-02
2.920000e-02,5.200000e-03,1.473333e-01
2.940000e-02,-6.466667e-03,4.618667e-02
2.960000e-02,-7.400000e-03,4.653334e-02
2.980000e-02,7.933334e-03,-1.550400e-01
3.000000e-02,-5.533333e-03,-1.542133e-01
3.020000e-02,4.666667e-03,-2.647200e-01
3.040000e-02,5.733334e-03,-1.873600e-01
3.060000e-02,-7.533333e-03,6.933333e-02
3.080000e-02,-6.866667e-03,8.845333e-02
3.100000e-02,6.533334e-03,-8.973333e-02
3.120000e-02,6.666667e-03,-8.850667e-02
3.140000e-02,-1.133333e-02,8.621334e-02
3.160000e-02,4.800000e-03,8.482666e-02
3.180000e-02,-7.400000e-03,-2.685333e-02
3.200000e-02,-7.133333e-03,-5.746667e-02
3.220000e-02,5.466667e-03,-6.960000e-03
3.240000e-02,7.800000e-03,-1.800000e-02
3.260000e-02,-5.933333e-03,1.518133e-01
3.280000e-02,9.133333e-03,1.962133e-01
3.300000e-02,-5.933333e-03,6.853333e-02
3.320000e-02,-7.133333e-03,6.832000e-02
3.340000e-02,6.933333e-03,-1.342400e-01
3.360000e-02,-6.333333e-03,-1.119733e-01
3.380000e-02,6.266667e-03,-3.701333e-02
3.400000e-02,-6.866667e-03,-1.098400e-01
3.420000e-02,4.800000e-03,-7.773333e-02
3.440000e-02,-8.800000e-03,-8.978666e-02
3.460000e-02,4.533333e-03,-5.333333e-05
3.480000e-02,-6.733333e-03,-6.586667e-03
3.500000e-02,8.066666e-03,8.760000e-02
3.520000e-02,5.866667e-03,7.373333e-02
3.540000e-02,-9.066666e-03,-1.576533e-01
3.560000e-02,-6.600000e-03,-1.570400e-01
3.580000e-02,8.600000e-03,1.320000e-02
3.600000e-02,4.000000e-03,1.325333e-02
3.620000e-02,-5.533333e-03,8.304000e-02
3.640000e-02,9.266667e-03,1.100000e-01
3.660000e-02,-6.866667e-03,4.792000e-02
3.680000e-02,-7.533333e-03,3.666667e-02
3.700000e-02,6.266667e-03,5.850667e-02
3.720000e-02,-7.266667e-03,5.088000e-02
3.740000e-02,5.866667e-03,-3.589333e-02
3.760000e-02,-7.133333e-03,-3.610667e-02
3.780000e-02,5.733334e-03,-1.340800e-01
3.800000e-02,5.200000e-03,-4.760000e-02
3.820000e-02,-7.133333e-03,4.938667e-02
3.840000e-02,-9.466667e-03,4.842667e-02
3.860000e-02,4.533333e-03,-6.237333e-02
3.880000e-02,-1.200000e-02,-5.773333e-02
3.900000e-02,1.393333e-02,-1.566133e-01
3.920000e-02,-1.540000e-02,-1.493067e-01
3.940000e-02,1.193333e-02,-5.517333e-02
3.960000e-02,-1.493333e-02,-6.048000e-02
3.980000e-02,1.073333e-02,-3.432000e-02
4.000000e-02,-5.800000e-03,-5.634667e-02
4.020000e-02,5.333333e-03,1.445067e-01
4.040000e-02,-8.800000e-03,1.505333e-01
4.060000e-02,3.600000e-03,9.112000e-02
4.080000e-02,-8.933334e-03,9.440000e-02
4.100000e-02,4.133333e-03,-1.800000e-02
4.120000e-02,5.866667e-03,-4.152000e-02
4.140000e-02,-6.200000e-03,9.466667e-03
4.160000e-02,6.666667e-03,8.480000e-03
4.180000e-02,-5.666667e-03,6.842667e-02
4.200000e-02,-5.266667e-03,1.208000e-02
4.220000e-02,5.066667e-03,-5.957333e-02
4.240000e-02,6.400000e-03,-3.293333e-02
4.260000e-02,-6.200000e-03,-7.909333e-02
4.280000e-02,-8.666667e-03,-7.914667e-02
4.300000e-02,6.666667e-03,-1.374400e-01
4.320000e-02,-5.933333e-03,-1.368267e-01
4.340000e-02,5.333333e-03,-4.392000e-02
4.360000e-02,4.133333e-03,-4.448000e-02
4.380000e-02,-8.266667e-03,9.762666e-02
4.400000e-02,4.400000e-03,1.078400e-01
4.420000e-02,-7.133333e-03,5.280000e-03
4.440000e-02,6.800000e-03,3.573333e-03
4.460000e-02,-7.533333e-03,2.757333e-02
4.480000e-02,5.333333e-03,5.066667e-02
4.500000e-02,-8.533333e-03,5.786667e-03
4.520000e-02,-6.333333e-03,-5.626667e-03
4.540000e-02,4.933333e-03,2.586667e-02
4.560000e-02,4.133333e-03,1.946667e-03
4.580000e-02,-7.400000e-03,4.821333e-02
4.600000e-02,5.600000e-03,4.842667e-02
4.620000e-02,-5.666667e-03,-3.120000e-02
4.640000e-02,4.133333e-03,-2.930667e-02
4.660000e-02,-6.466667e-03,-1.469600e-01
4.680000e-02,-6.466667e-03,-1.264533e-01
4.700000e-02,6.000000e-03,-5.701333e-02
4.720000e-02,7.933334e-03,-5.690667e-02
4.740000e-02,-7.733333e-03,-2.072000e-02
4.760000e-02,-7.733333e-03,-2.514667e-02
4.780000e-02,7.933334e-03,1.325333e-02
4.800000e-02,-5.800000e-03,-4.346667e-03
4.820000e-02,4.000000e-03,3.016000e-02
4.840000e-02,-8.133333e-03,1.994667e-02
4.860000e-02,5.600000e-03,-3.813333e-02
4.880000e-02,5.066667e-03,-4.050667e-02
4.900000e-02,-5.000000e-03,6.330667e-02
4.920000e-02,-5.400000e-03,6.352000e-02
4.940000e-02,5.600000e-03,8.749333e-02
4.960000e-02,4.933333e-03,7.594667e-02
4.980000e-02,-8.000000e-03,-6.906667e-03
5.000000e-02,3.866667e-03,-4.506667e-03
5.020000e-02,-7.000000e-03,-5.061333e-02
5.040000e-02,-6.733333e-03,-2.960000e-02
5.060000e-02,5.333333e-03,-6.157333e-02
5.080000e-02,9.400000e-03,-8.381333e-02
5.100000e-02,-5.133334e-03,-4.898667e-02
5.120000e-02,-7.533333e-03,-5.138667e-02
5.140000e-02,9.666666e-03,1.440000e-03
5.160000e-02,-6.333333e-03,-5.333333e-05
5.180000e-02,6.133333e-03,-5.706667e-02
5.200000e-02,-7.133333e-03,-5.261333e-02
5.220000e-02,4.933333e-03,-7.797334e-02
5.240000e-02,3.866667e-03,-6.069333e-02
5.260000e-02,-8.266667e-03,2.629333e-02
5.280000e-02,5.066667e-03,2.506667e-02
5.300000e-02,-7.133333e-03,6.130667e-02
5.320000e-02,-8.266667e-03,3.952000e-02
5.340000e-02,8.066666e-03,8.120000e-02
5.360000e-02,5.733334e-03,7.730667e-02
5.380000e-02,-8.400000e-03,1.576000e-02
5.400000e-02,-6.066667e-03,1.773333e-02
5.420000e-02,4.266667e-03,-4.320000e-02
5.440000e-02,-7.400000e-03,-5.528000e-02
5.460000e-02,3.733333e-03,-2.229333e-02
5.480000e-02,4.800000e-03,-6.293333e-03
5.500000e-02,-7.400000e-03,-3.261333e-02
5.520000e-02,7.333334e-03,-3.064000e-02
5.540000e-02,-7.266667e-03,-9.082667e-02
5.560000e-02,5.600000e-03,-9.056000e-02
5.580000e-02,-8.800000e-03,-6.213333e-02
5.600000e-02,-7.733333e-03,-7.266667e-02
5.620000e-02,4.400000e-03,-3.298667e-02
5.640000e-02,5.600000e-03,-3.712000e-02
5.660000e-02,-7.533333e-03,4.245333e-02
5.680000e-02,5.200000e-03,3.984000e-02
5.700000e-02,-1.053333e-02,8.917333e-02
5.720000e-02,-9.866667e-03,8.898667e-02
5.740000e-02,3.866667e-03,1.581333e-02
5.760000e-02,-7.000000e-03,1.816000e-02
5.780000e-02,7.066667e-03,-8.293333e-03
5.800000e-02,-7.400000e-03,1.514667e-02
5.820000e-02,6.666667e-03,-9.360000e-03
5.840000e-02,6.000000e-03,-4.746667e-03
5.860000e-02,-7.000000e-03,-2.530667e-02
5.880000e-02,7.200000e-03,-2.429333e-02
5.900000e-02,-7.733333e-03,-3.962667e-02
5.920000e-02,6.400000e-03,-3.738667e-02
5.940000e-02,-6.600000e-03,-6.909333e-02
5.960000e-02,1.300000e-02,-6.760000e-02
