Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774254939.6146326,295.490,-9999.000000,22.017193,26.0,100.0000,LOW,0.2,0.005,0.0
1774254939.6802425,295.556,-9999.000000,22.016028,26.0,100.0000,LOW,0.2,0.005,0.0
1774254939.744095,295.620,-9999.000000,22.018745,26.0,100.0000,LOW,0.2,0.005,0.0
1774254939.8062494,295.682,-9999.000000,22.020685,26.0,100.0000,LOW,0.2,0.005,0.0
1774254939.8737454,295.749,-9999.000000,22.021850,26.0,100.0000,LOW,0.2,0.005,0.0
1774254939.9360118,295.812,-9999.000000,22.020685,26.0,100.0000,LOW,0.2,0.005,0.0
1774254939.990294,295.866,-9999.000000,22.021463,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.0481784,295.924,-9999.000000,22.015253,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.113585,295.989,-9999.000000,22.016028,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.1748195,296.050,-9999.000000,22.017971,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.237398,296.113,-9999.000000,22.019910,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.3039203,296.179,-9999.000000,22.019133,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.367729,296.243,-9999.000000,22.017580,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.4249213,296.300,-9999.000000,22.014475,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.4944444,296.370,-9999.000000,22.015253,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.560946,296.437,-9999.000000,22.017193,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.6239707,296.500,-9999.000000,22.020298,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.6843824,296.560,-9999.000000,22.019910,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.746491,296.622,-9999.000000,22.016418,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.7948074,296.670,-9999.000000,22.014863,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.864201,296.740,-9999.000000,22.013701,26.0,100.0000,LOW,0.2,0.005,0.0
1774254940.926738,296.802,-9999.000000,22.014475,26.0,100.0000,LOW,0.2,0.005,0.0
