Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Ambient_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774496962.749869,39.105,-9999.000000,29.657325,22.365996,30.0,57.5934,LOW,0.2,0.005,0.0
1774496962.8588388,39.214,-9999.000000,29.649108,22.367550,30.0,57.7698,LOW,0.2,0.005,0.0
1774496962.9704804,39.326,-9999.000000,29.649518,22.368326,30.0,57.7776,LOW,0.2,0.005,0.0
1774496963.0800152,39.435,-9999.000000,29.650751,22.368326,30.0,57.7721,LOW,0.2,0.005,0.0
1774496963.1941867,39.550,-9999.000000,29.649518,22.369881,30.0,57.8097,LOW,0.2,0.005,0.0
1774496963.2978966,39.653,-9999.000000,29.649518,22.371047,30.0,57.8226,LOW,0.2,0.005,0.0
1774496963.4104607,39.766,-9999.000000,29.650341,22.371826,30.0,57.8223,LOW,0.2,0.005,0.0
1774496963.523617,39.879,-9999.000000,29.650751,22.373381,30.0,57.8267,LOW,0.2,0.005,0.0
1774496963.639698,39.995,-9999.000000,29.661845,22.374156,30.0,57.6210,LOW,0.2,0.005,0.0
1774496963.7500644,40.106,-9999.000000,29.651574,22.375323,30.0,57.8403,LOW,0.2,0.005,0.0
1774496963.8566985,40.212,-9999.000000,29.647875,22.376102,30.0,57.9295,LOW,0.2,0.005,0.0
1774496963.9702272,40.326,-9999.000000,29.650751,22.378432,30.0,57.8812,LOW,0.2,0.005,0.0
1774496964.0808725,40.436,-9999.000000,29.651984,22.379599,30.0,57.8705,LOW,0.2,0.005,0.0
1774496964.1901069,40.546,-9999.000000,29.653628,22.381545,30.0,57.8477,LOW,0.2,0.005,0.0
1774496964.29981,40.655,-9999.000000,29.652805,22.383875,30.0,57.8726,LOW,0.2,0.005,0.0
1774496964.4094062,40.765,-9999.000000,29.660615,22.385430,30.0,57.7280,LOW,0.2,0.005,0.0
1774496964.520409,40.876,-9999.000000,29.653218,22.386596,30.0,57.8899,LOW,0.2,0.005,0.0
1774496964.6304526,40.986,-9999.000000,29.654038,22.388539,30.0,57.8837,LOW,0.2,0.005,0.0
1774496964.7382944,41.094,-9999.000000,29.654448,22.388539,30.0,57.8941,LOW,0.2,0.005,0.0
1774496964.8503027,41.206,-9999.000000,29.653628,22.388930,30.0,57.9281,LOW,0.2,0.005,0.0
1774496964.9625514,41.318,-9999.000000,29.654861,22.390094,30.0,57.9175,LOW,0.2,0.005,0.0
1774496965.075526,41.431,-9999.000000,29.655681,22.391260,30.0,57.9153,LOW,0.2,0.005,0.0
1774496965.1854255,41.541,-9999.000000,29.656094,22.392039,30.0,57.9224,LOW,0.2,0.005,0.0
1774496965.2973585,41.653,-9999.000000,29.651984,22.392815,30.0,58.0205,LOW,0.2,0.005,0.0
1774496965.4117062,41.767,-9999.000000,29.657325,22.394761,30.0,57.9245,LOW,0.2,0.005,0.0
1774496965.5249286,41.880,-9999.000000,29.657325,22.396315,30.0,57.9368,LOW,0.2,0.005,0.0
1774496965.6322646,41.988,-9999.000000,29.657738,22.398258,30.0,57.9381,LOW,0.2,0.005,0.0
1774496965.746565,42.102,-9999.000000,29.653218,22.400201,30.0,58.0395,LOW,0.2,0.005,0.0
1774496965.8632653,42.219,-9999.000000,29.657738,22.403313,30.0,57.9549,LOW,0.2,0.005,0.0
1774496965.978331,42.334,-9999.000000,29.660202,22.404868,30.0,57.9181,LOW,0.2,0.005,0.0
1774496966.0934005,42.449,-9999.000000,29.666779,22.406423,30.0,57.7986,LOW,0.2,0.005,0.0
1774496966.204557,42.560,-9999.000000,29.660615,22.408366,30.0,57.9320,LOW,0.2,0.005,0.0
1774496966.3152,42.671,-9999.000000,29.661435,22.409145,30.0,57.9307,LOW,0.2,0.005,0.0
1774496966.427045,42.783,-9999.000000,29.661845,22.412642,30.0,57.9256,LOW,0.2,0.005,0.0
1774496966.5424366,42.898,-9999.000000,29.663079,22.413809,30.0,57.9150,LOW,0.2,0.005,0.0
1774496966.6526875,43.008,-9999.000000,29.662258,22.415364,30.0,57.9430,LOW,0.2,0.005,0.0
1774496966.7615554,43.117,-9999.000000,29.663902,22.416919,30.0,57.9213,LOW,0.2,0.005,0.0
1774496966.8737311,43.229,-9999.000000,29.672530,22.416531,30.0,57.7689,LOW,0.2,0.005,0.0
1774496966.9846392,43.340,-9999.000000,29.663489,22.413421,30.0,57.9825,LOW,0.2,0.005,0.0
1774496967.0964556,43.452,-9999.000000,29.661025,22.410699,30.0,58.0631,LOW,0.2,0.005,0.0
1774496967.2078216,43.563,-9999.000000,29.665132,22.407978,30.0,58.0120,LOW,0.2,0.005,0.0
1774496967.3354506,43.691,-9999.000000,29.665132,22.404089,30.0,58.0510,LOW,0.2,0.005,0.0
1774496967.4671829,43.823,-9999.000000,29.665546,22.399813,30.0,58.0842,LOW,0.2,0.005,0.0
1774496967.5774355,43.933,-9999.000000,29.666779,22.396703,30.0,58.0921,LOW,0.2,0.005,0.0
1774496967.6947496,44.050,-9999.000000,29.665956,22.393982,30.0,58.1405,LOW,0.2,0.005,0.0
1774496967.810426,44.166,-9999.000000,29.667599,22.388930,30.0,58.1498,LOW,0.2,0.005,0.0
1774496967.9227169,44.278,-9999.000000,29.668009,22.382320,30.0,58.1903,LOW,0.2,0.005,0.0
1774496968.038025,44.394,-9999.000000,29.665956,22.377269,30.0,58.2736,LOW,0.2,0.005,0.0
1774496968.1588545,44.514,-9999.000000,29.668009,22.371438,30.0,58.2791,LOW,0.2,0.005,0.0
1774496968.2953026,44.651,-9999.000000,29.669243,22.365217,30.0,58.3053,LOW,0.2,0.005,0.0
1774496968.418239,44.774,-9999.000000,29.670066,22.360166,30.0,58.3320,LOW,0.2,0.005,0.0
1774496968.5304615,44.886,-9999.000000,29.667599,22.355499,30.0,58.4212,LOW,0.2,0.005,0.0
1774496968.6500795,45.006,-9999.000000,29.670887,22.348506,30.0,58.4070,LOW,0.2,0.005,0.0
1774496968.767375,45.123,-9999.000000,29.681986,22.346560,30.0,58.2125,LOW,0.2,0.005,0.0
1774496968.8856385,45.241,-9999.000000,29.671300,22.342676,30.0,58.4633,LOW,0.2,0.005,0.0
1774496968.9977043,45.353,-9999.000000,29.673764,22.339176,30.0,58.4482,LOW,0.2,0.005,0.0
1774496969.115461,45.471,-9999.000000,29.671300,22.335680,30.0,58.5327,LOW,0.2,0.005,0.0
1774496969.231942,45.587,-9999.000000,29.671300,22.333735,30.0,58.5607,LOW,0.2,0.005,0.0
1774496969.346316,45.702,-9999.000000,29.668833,22.333347,30.0,58.6307,LOW,0.2,0.005,0.0
1774496969.4671965,45.823,-9999.000000,29.672530,22.333347,30.0,58.5766,LOW,0.2,0.005,0.0
1774496969.5857162,45.941,-9999.000000,29.668833,22.334125,30.0,58.6666,LOW,0.2,0.005,0.0
1774496969.6979496,46.053,-9999.000000,29.682396,22.335289,30.0,58.4079,LOW,0.2,0.005,0.0
1774496969.8169594,46.172,-9999.000000,29.673764,22.336455,30.0,58.5946,LOW,0.2,0.005,0.0
1774496969.9362009,46.292,-9999.000000,29.669653,22.336846,30.0,58.6948,LOW,0.2,0.005,0.0
1774496970.0609877,46.416,-9999.000000,29.673354,22.338010,30.0,58.6359,LOW,0.2,0.005,0.0
1774496970.1872995,46.543,-9999.000000,29.677052,22.336068,30.0,58.5911,LOW,0.2,0.005,0.0
1774496970.3145702,46.670,-9999.000000,29.673764,22.341121,30.0,58.6547,LOW,0.2,0.005,0.0
1774496970.4320343,46.788,-9999.000000,29.674998,22.339955,30.0,58.6544,LOW,0.2,0.005,0.0
1774496970.549742,46.905,-9999.000000,29.673354,22.339955,30.0,58.7065,LOW,0.2,0.005,0.0
1774496970.6662805,47.022,-9999.000000,29.652395,22.339955,30.0,59.1459,LOW,0.2,0.005,0.0
1774496970.7767038,47.132,-9999.000000,29.673764,22.341509,30.0,58.7295,LOW,0.2,0.005,0.0
1774496970.888984,47.244,-9999.000000,29.674174,22.343064,30.0,58.7325,LOW,0.2,0.005,0.0
1774496971.0009725,47.356,-9999.000000,29.673354,22.345006,30.0,58.7584,LOW,0.2,0.005,0.0
1774496971.1178823,47.473,-9999.000000,29.673764,22.346951,30.0,58.7604,LOW,0.2,0.005,0.0
1774496971.242578,47.598,-9999.000000,29.673354,22.349669,30.0,58.7766,LOW,0.2,0.005,0.0
1774496971.3562927,47.712,-9999.000000,29.674587,22.351227,30.0,58.7634,LOW,0.2,0.005,0.0
1774496971.470659,47.826,-9999.000000,29.673764,22.353169,30.0,58.7897,LOW,0.2,0.005,0.0
1774496971.586058,47.942,-9999.000000,29.673764,22.353945,30.0,58.8050,LOW,0.2,0.005,0.0
1774496971.700272,48.056,-9999.000000,29.671710,22.354723,30.0,58.8612,LOW,0.2,0.005,0.0
1774496971.8160725,48.172,-9999.000000,29.674587,22.354335,30.0,58.8243,LOW,0.2,0.005,0.0
1774496971.9316022,48.287,-9999.000000,29.674174,22.353557,30.0,58.8549,LOW,0.2,0.005,0.0
1774496972.049856,48.405,-9999.000000,29.674174,22.352002,30.0,58.8813,LOW,0.2,0.005,0.0
1774496972.1796875,48.535,-9999.000000,29.674998,22.351227,30.0,58.8894,LOW,0.2,0.005,0.0
1774496972.3015156,48.657,-9999.000000,29.674587,22.350060,30.0,58.9227,LOW,0.2,0.005,0.0
1774496972.431701,48.787,-9999.000000,29.676231,22.350060,30.0,58.9109,LOW,0.2,0.005,0.0
1774496972.5622094,48.918,-9999.000000,29.675408,22.350448,30.0,58.9468,LOW,0.2,0.005,0.0
1774496972.6867187,49.042,-9999.000000,29.675408,22.351614,30.0,58.9617,LOW,0.2,0.005,0.0
1774496972.8045459,49.160,-9999.000000,29.674174,22.352002,30.0,59.0038,LOW,0.2,0.005,0.0
1774496972.9178767,49.273,-9999.000000,29.674998,22.352390,30.0,59.0040,LOW,0.2,0.005,0.0
1774496973.0307481,49.386,-9999.000000,29.675818,22.353169,30.0,59.0024,LOW,0.2,0.005,0.0
1774496973.1489034,49.504,-9999.000000,29.676231,22.355111,30.0,59.0044,LOW,0.2,0.005,0.0
1774496973.2631454,49.619,-9999.000000,29.677465,22.355890,30.0,58.9946,LOW,0.2,0.005,0.0
1774496973.3830664,49.739,-9999.000000,29.677875,22.357444,30.0,58.9987,LOW,0.2,0.005,0.0
1774496973.5019312,49.857,-9999.000000,29.677875,22.357832,30.0,59.0160,LOW,0.2,0.005,0.0
1774496973.6501667,50.006,-9999.000000,29.678695,22.358999,30.0,59.0181,LOW,0.2,0.005,0.0
1774496973.7716007,50.127,-9999.000000,29.679929,22.358611,30.0,59.0147,LOW,0.2,0.005,0.0
1774496973.884542,50.240,-9999.000000,29.678695,22.359775,30.0,59.0522,LOW,0.2,0.005,0.0
1774496973.9993064,50.355,-9999.000000,29.679109,22.357444,30.0,59.0729,LOW,0.2,0.005,0.0
1774496974.110859,50.466,-9999.000000,29.689383,22.354335,30.0,58.8989,LOW,0.2,0.005,0.0
1774496974.2300754,50.586,-9999.000000,29.678695,22.349669,30.0,59.1530,LOW,0.2,0.005,0.0
1774496974.3453999,50.701,-9999.000000,29.681986,22.344618,30.0,59.1285,LOW,0.2,0.005,0.0
1774496974.4602747,50.816,-9999.000000,29.681163,22.339955,30.0,59.1845,LOW,0.2,0.005,0.0
1774496974.5733695,50.929,-9999.000000,29.682396,22.338010,30.0,59.1866,LOW,0.2,0.005,0.0
1774496974.693504,51.049,-9999.000000,29.682807,22.339955,30.0,59.1886,LOW,0.2,0.005,0.0
1774496974.8146622,51.170,-9999.000000,29.683217,22.340731,30.0,59.1961,LOW,0.2,0.005,0.0
1774496974.9360373,51.292,-9999.000000,29.686095,22.343064,30.0,59.1470,LOW,0.2,0.005,0.0
1774496975.0705261,51.426,-9999.000000,29.684861,22.345394,30.0,59.1822,LOW,0.2,0.005,0.0
1774496975.199666,51.555,-9999.000000,29.686505,22.346951,30.0,59.1625,LOW,0.2,0.005,0.0
1774496975.3284638,51.684,-9999.000000,29.686918,22.348893,30.0,59.1656,LOW,0.2,0.005,0.0
1774496975.4566398,51.812,-9999.000000,29.700071,22.349669,30.0,58.9182,LOW,0.2,0.005,0.0
1774496975.580178,51.936,-9999.000000,29.693084,22.348506,30.0,59.0822,LOW,0.2,0.005,0.0
1774496975.712369,52.068,-9999.000000,29.688562,22.348115,30.0,59.1950,LOW,0.2,0.005,0.0
1774496975.8334696,52.189,-9999.000000,29.688972,22.346560,30.0,59.2127,LOW,0.2,0.005,0.0
1774496975.9555252,52.311,-9999.000000,29.691440,22.344230,30.0,59.1928,LOW,0.2,0.005,0.0
1774496976.079076,52.435,-9999.000000,29.690206,22.342285,30.0,59.2454,LOW,0.2,0.005,0.0
1774496976.1988804,52.554,-9999.000000,29.691850,22.340343,30.0,59.2398,LOW,0.2,0.005,0.0
1774496976.344926,52.700,-9999.000000,29.693905,22.337234,30.0,59.2352,LOW,0.2,0.005,0.0
1774496976.466568,52.822,-9999.000000,29.701305,22.336068,30.0,59.1107,LOW,0.2,0.005,0.0
1774496976.589531,52.945,-9999.000000,29.694728,22.335289,30.0,59.2645,LOW,0.2,0.005,0.0
1774496976.7117987,53.067,-9999.000000,29.695962,22.334901,30.0,59.2602,LOW,0.2,0.005,0.0
1774496976.831464,53.187,-9999.000000,29.696372,22.334513,30.0,59.2719,LOW,0.2,0.005,0.0
1774496976.9523914,53.308,-9999.000000,29.697193,22.334125,30.0,59.2756,LOW,0.2,0.005,0.0
1774496977.081516,53.437,-9999.000000,29.698840,22.334125,30.0,59.2621,LOW,0.2,0.005,0.0
1774496977.2022178,53.558,-9999.000000,29.699250,22.334125,30.0,59.2720,LOW,0.2,0.005,0.0
1774496977.3200758,53.676,-9999.000000,29.699661,22.334901,30.0,59.2780,LOW,0.2,0.005,0.0
1774496977.4417193,53.797,-9999.000000,29.701305,22.336068,30.0,59.2580,LOW,0.2,0.005,0.0
1774496977.559932,53.915,-9999.000000,29.702539,22.335289,30.0,59.2544,LOW,0.2,0.005,0.0
1774496977.6863656,54.042,-9999.000000,29.705417,22.338010,30.0,59.2031,LOW,0.2,0.005,0.0
1774496977.8147166,54.170,-9999.000000,29.704593,22.338401,30.0,59.2368,LOW,0.2,0.005,0.0
1774496977.9330647,54.289,-9999.000000,29.705007,22.340343,30.0,59.2371,LOW,0.2,0.005,0.0
1774496978.0573645,54.413,-9999.000000,29.706238,22.340731,30.0,59.2290,LOW,0.2,0.005,0.0
1774496978.1805034,54.536,-9999.000000,29.722686,22.342676,30.0,58.9083,LOW,0.2,0.005,0.0
1774496978.297397,54.653,-9999.000000,29.709940,22.343452,30.0,59.1766,LOW,0.2,0.005,0.0
1774496978.4199693,54.775,-9999.000000,29.716108,22.343839,30.0,59.0689,LOW,0.2,0.005,0.0
1774496978.541603,54.897,-9999.000000,29.711174,22.344618,30.0,59.1816,LOW,0.2,0.005,0.0
1774496978.6766934,55.032,-9999.000000,29.713229,22.346560,30.0,59.1511,LOW,0.2,0.005,0.0
1774496978.799469,55.155,-9999.000000,29.713229,22.345394,30.0,59.1740,LOW,0.2,0.005,0.0
1774496978.927725,55.283,-9999.000000,29.715284,22.347727,30.0,59.1405,LOW,0.2,0.005,0.0
1774496979.0420969,55.398,-9999.000000,29.715697,22.348115,30.0,59.1467,LOW,0.2,0.005,0.0
1774496979.1585684,55.514,-9999.000000,29.705828,22.348893,30.0,59.3577,LOW,0.2,0.005,0.0
